bucketname,tier,env,rpm,rps
hydra-admin-high,Develop,dev,80,10
hydra-admin-high,Develop,prod,80,10
hydra-admin-high,Develop,stage,80,10
hydra-admin-high,Enterprise,dev,175,18
hydra-admin-high,Enterprise,prod,8750,622
hydra-admin-high,Enterprise,stage,175,18
hydra-admin-high,Growth,dev,175,18
hydra-admin-high,Growth,prod,4300,370
hydra-admin-high,Growth,stage,175,18
hydra-admin-high,Production,dev,175,18
hydra-admin-high,Production,prod,175,18
hydra-admin-high,Production,stage,175,18
hydra-admin-low,Develop,dev,15,10
hydra-admin-low,Develop,prod,15,10
hydra-admin-low,Develop,stage,15,10
hydra-admin-low,Enterprise,dev,30,10
hydra-admin-low,Enterprise,prod,700,69
hydra-admin-low,Enterprise,stage,30,10
hydra-admin-low,Growth,dev,30,10
hydra-admin-low,Growth,prod,350,35
hydra-admin-low,Growth,stage,30,10
hydra-admin-low,Production,dev,30,10
hydra-admin-low,Production,prod,35,10
hydra-admin-low,Production,stage,30,10
hydra-admin-medium,Develop,dev,15,10
hydra-admin-medium,Develop,prod,15,10
hydra-admin-medium,Develop,stage,15,10
hydra-admin-medium,Enterprise,dev,30,10
hydra-admin-medium,Enterprise,prod,125,13
hydra-admin-medium,Enterprise,stage,30,10
hydra-admin-medium,Growth,dev,30,10
hydra-admin-medium,Growth,prod,60,10
hydra-admin-medium,Growth,stage,30,10
hydra-admin-medium,Production,dev,30,10
hydra-admin-medium,Production,prod,30,10
hydra-admin-medium,Production,stage,30,10
hydra-public-high,Develop,dev,70,10
hydra-public-high,Develop,prod,70,10
hydra-public-high,Develop,stage,70,10
hydra-public-high,Enterprise,dev,150,15
hydra-public-high,Enterprise,prod,2100,196
hydra-public-high,Enterprise,stage,150,15
hydra-public-high,Growth,dev,150,15
hydra-public-high,Growth,prod,700,69
hydra-public-high,Growth,stage,150,15
hydra-public-high,Production,dev,150,15
hydra-public-high,Production,prod,225,23
hydra-public-high,Production,stage,150,15
hydra-public-low,Develop,dev,15,10
hydra-public-low,Develop,prod,15,10
hydra-public-low,Develop,stage,15,10
hydra-public-low,Enterprise,dev,30,10
hydra-public-low,Enterprise,prod,450,45
hydra-public-low,Enterprise,stage,30,10
hydra-public-low,Growth,dev,30,10
hydra-public-low,Growth,prod,150,15
hydra-public-low,Growth,stage,30,10
hydra-public-low,Production,dev,30,10
hydra-public-low,Production,prod,45,10
hydra-public-low,Production,stage,30,10
hydra-public-medium,Develop,dev,125,13
hydra-public-medium,Develop,prod,125,13
hydra-public-medium,Develop,stage,125,13
hydra-public-medium,Enterprise,dev,250,25
hydra-public-medium,Enterprise,prod,3600,318
hydra-public-medium,Enterprise,stage,250,25
hydra-public-medium,Growth,dev,250,25
hydra-public-medium,Growth,prod,1200,116
hydra-public-medium,Growth,stage,250,25
hydra-public-medium,Production,dev,250,25
hydra-public-medium,Production,prod,375,38
hydra-public-medium,Production,stage,250,25
keto-admin-low,Develop,dev,80,10
keto-admin-low,Develop,prod,80,10
keto-admin-low,Develop,stage,80,10
keto-admin-low,Enterprise,dev,175,18
keto-admin-low,Enterprise,prod,700,69
keto-admin-low,Enterprise,stage,175,18
